=== MATCH SCHEDULE FOR SATURDAY ===
01:30 PM - 02:00 PM | DXD12  | Court 12
01:30 PM - 02:00 PM | DXD13  | Court 3
01:30 PM - 02:00 PM | DXD14  | Court 6
01:30 PM - 02:00 PM | DXD15  | Court 7
01:30 PM - 02:00 PM | CDWS2  | Court 8
01:30 PM - 02:00 PM | CDWS7  | Court 9
01:30 PM - 02:00 PM | ABWS4  | Court 1
01:30 PM - 02:00 PM | ABWS5  | Court 2
01:30 PM - 02:00 PM | AXD5   | Court 4
01:30 PM - 02:00 PM | BXD2   | Court 5
02:00 PM - 02:30 PM | BXD4   | Court 3
02:00 PM - 02:30 PM | BXD7   | Court 6
02:00 PM - 02:30 PM | CMD49  | Court 10
02:00 PM - 02:30 PM | CMD50  | Court 11
02:00 PM - 02:30 PM | CMD51  | Court 12
02:00 PM - 02:30 PM | CMD52  | Court 7
02:00 PM - 02:30 PM | CMD53  | Court 8
02:00 PM - 02:30 PM | CMD54  | Court 9
02:00 PM - 02:30 PM | CMD55  | Court 1
02:00 PM - 02:30 PM | CMD56  | Court 2
02:00 PM - 02:30 PM | DMD49  | Court 4
02:00 PM - 02:30 PM | DMD50  | Court 5
02:30 PM - 03:00 PM | DMD51  | Court 10
02:30 PM - 03:00 PM | DMD52  | Court 11
02:30 PM - 03:00 PM | DMD53  | Court 12
02:30 PM - 03:00 PM | DMD54  | Court 3
02:30 PM - 03:00 PM | DMD55  | Court 6
02:30 PM - 03:00 PM | DMD56  | Court 7
02:30 PM - 03:00 PM | CDWS3  | Court 8
02:30 PM - 03:00 PM | CDWS4  | Court 9
02:30 PM - 03:00 PM | CDWS5  | Court 1
02:30 PM - 03:00 PM | CDWS6  | Court 2
02:30 PM - 03:00 PM | CMS17  | Court 4
02:30 PM - 03:00 PM | CMS18  | Court 5
03:00 PM - 03:30 PM | CMS19  | Court 10
03:00 PM - 03:30 PM | CMS20  | Court 11
03:00 PM - 03:30 PM | CMS21  | Court 12
03:00 PM - 03:30 PM | CMS22  | Court 3
03:00 PM - 03:30 PM | CMS23  | Court 6
03:00 PM - 03:30 PM | CMS24  | Court 7
03:00 PM - 03:30 PM | BMS17  | Court 8
03:00 PM - 03:30 PM | BMS18  | Court 9
03:00 PM - 03:30 PM | BMS19  | Court 1
03:00 PM - 03:30 PM | BMS20  | Court 2
03:00 PM - 03:30 PM | BMS21  | Court 4
03:00 PM - 03:30 PM | BMS22  | Court 5
03:30 PM - 04:00 PM | BMS23  | Court 3
03:30 PM - 04:00 PM | BMS24  | Court 6
03:30 PM - 04:00 PM | DMS49  | Court 10
03:30 PM - 04:00 PM | DMS50  | Court 11
03:30 PM - 04:00 PM | DMS51  | Court 12
03:30 PM - 04:00 PM | DMS52  | Court 7
03:30 PM - 04:00 PM | DMS53  | Court 8
03:30 PM - 04:00 PM | DMS54  | Court 9
03:30 PM - 04:00 PM | DMS55  | Court 1
03:30 PM - 04:00 PM | DMS56  | Court 2
03:30 PM - 04:00 PM | CXD17  | Court 4
03:30 PM - 04:00 PM | CXD18  | Court 5
04:00 PM - 04:30 PM | CXD19  | Court 10
04:00 PM - 04:30 PM | CXD20  | Court 11
04:00 PM - 04:30 PM | CXD21  | Court 12
04:00 PM - 04:30 PM | CXD22  | Court 3
04:00 PM - 04:30 PM | CXD23  | Court 6
04:00 PM - 04:30 PM | CXD24  | Court 7
04:00 PM - 04:30 PM | AMS1   | Court 1
04:00 PM - 04:30 PM | AMS2   | Court 2
04:00 PM - 04:30 PM | AMS3   | Court 4
04:00 PM - 04:30 PM | AMS4   | Court 5
